activity_a,activity_b,template,support,confidence
crp,,existence,1050,1007
crp,er_sepsis_triage,coexistence,1050,1006
crp,lacticacid,coexistence,1007,860
crp,leucocytes,coexistence,1013,1006
er_registration,,existence,1050,1050
er_sepsis_triage,,existence,1050,1049
er_sepsis_triage,crp,coexistence,1050,1006
er_sepsis_triage,leucocytes,coexistence,1050,1011
er_triage,,existence,1050,1050
lacticacid,crp,coexistence,1007,860
leucocytes,,existence,1050,1012
leucocytes,crp,coexistence,1013,1006
leucocytes,er_sepsis_triage,coexistence,1050,1011
er_sepsis_triage,crp,response,1049,943
er_sepsis_triage,leucocytes,response,1049,945
er_registration,crp,succession,1050,983
er_registration,er_sepsis_triage,altsuccession,1050,1042
er_registration,er_triage,chainsuccession,1050,968
er_registration,leucocytes,succession,1050,984
er_triage,crp,succession,1050,940
er_triage,er_sepsis_triage,chainsuccession,1050,902
er_triage,leucocytes,succession,1050,941
er_sepsis_triage,,exactly_one,1049,1049
er_registration,,exactly_one,1050,1050
er_triage,,exactly_one,1050,1047
er_registration,,init,1050,995
release_d,,absence,1050,1026
release_e,,absence,1050,1044
release_b,,absence,1050,994
release_c,,absence,1050,1025
admission_ic,,absence,1050,940
